i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
31,3,1,305.0,25.0,0.5,0.6325225608625317,0.36747743913746833,833.3333333333333
32,3,1,315.0,25.0,0.5,0.6297238187671821,0.3702761812328179,833.3333333333333
33,3,1,325.0,25.0,0.5,0.6269777475689335,0.37302225243106646,833.3333333333333
34,3,1,335.0,25.0,0.5,0.624276521274318,0.375723478725682,833.3333333333333
35,3,1,345.0,25.0,0.5,0.6216189034726987,0.37838109652730134,833.3333333333333
36,3,1,355.0,25.0,0.5,0.6190064146743084,0.3809935853256916,833.3333333333333
37,3,1,365.0,25.0,0.5,0.6164328630197373,0.3835671369802627,833.3333333333333
38,3,1,375.0,25.0,0.5,0.6139043559162212,0.38609564408377883,833.3333333333333
39,3,1,385.0,25.0,0.5,0.611412599012242,0.388587400987758,833.3333333333333
40,3,1,395.0,25.0,0.5,0.6089642702198955,0.3910357297801045,833.3333333333333
41,3,1,405.0,25.0,0.5,0.6065499769130868,0.39345002308691324,833.3333333333333
42,3,1,415.0,25.0,0.5,0.604170914698873,0.39582908530112704,833.3333333333333
43,3,1,425.0,25.0,0.5,0.6018061292563766,0.39819387074362345,833.3333333333333
44,3,1,435.0,25.0,0.5,0.599344638092353,0.40065536190764695,833.3333333333333
45,3,1,445.0,25.0,0.5,0.5967129113007402,0.4032870886992598,833.3333333333333
46,3,1,455.0,25.0,0.5,0.5936938860234234,0.40630611397657657,833.3333333333333
47,3,1,465.0,25.0,0.5,0.5898652191965267,0.4101347808034733,833.3333333333333
48,3,1,475.0,25.0,0.5,0.5845516217395825,0.4154483782604175,833.3333333333333
49,3,1,485.0,25.0,0.5,0.5768655696028748,0.42313443039712517,833.3333333333333
50,3,1,495.0,25.0,0.5,0.5650397113882328,0.43496028861176717,833.3333333333333
1,4,1,5.0,35.0,0.5,0.7898122142286506,0.21018778577134944,833.3333333333333
2,4,1,15.0,35.0,0.5,0.7829903640545329,0.21700963594546707,833.3333333333333
3,4,1,25.0,35.0,0.5,0.7746364693961162,0.2253635306038838,833.3333333333333
4,4,1,35.0,35.0,0.5,0.7658270913106202,0.2341729086893798,833.3333333333333
5,4,1,45.0,35.0,0.5,0.7572229666468875,0.24277703335311251,833.3333333333333
6,4,1,55.0,35.0,0.5,0.7491860357199104,0.2508139642800896,833.3333333333333
7,4,1,65.0,35.0,0.5,0.7417176115292162,0.2582823884707838,833.3333333333333
8,4,1,75.0,35.0,0.5,0.7347698517056149,0.26523014829438507,833.3333333333333
9,4,1,85.0,35.0,0.5,0.7282689180050617,0.27173108199493834,833.3333333333333
10,4,1,95.0,35.0,0.5,0.7221707991000434,0.27782920089995655,833.3333333333333
11,4,1,105.0,35.0,0.5,0.7164390920468366,0.28356090795316335,833.3333333333333
12,4,1,115.0,35.0,0.5,0.7110261213676767,0.28897387863232327,833.3333333333333
13,4,1,125.0,35.0,0.5,0.7058916329375747,0.29410836706242527,833.3333333333333
14,4,1,135.0,35.0,0.5,0.7010030644175753,0.2989969355824247,833.3333333333333
15,4,1,145.0,35.0,0.5,0.6963323815784269,0.3036676184215731,833.3333333333333
16,4,1,155.0,35.0,0.5,0.691855672576419,0.308144327423581,833.3333333333333
17,4,1,165.0,35.0,0.5,0.6875507263995582,0.31244927360044183,833.3333333333333
18,4,1,175.0,35.0,0.5,0.6833995635126342,0.3166004364873658,833.3333333333333
19,4,1,185.0,35.0,0.5,0.6793880832444407,0.32061191675555933,833.3333333333333
20,4,1,195.0,35.0,0.5,0.6755055699308417,0.32449443006915835,833.3333333333333
21,4,1,205.0,35.0,0.5,0.6717460784659633,0.32825392153403665,833.3333333333333
22,4,1,215.0,35.0,0.5,0.668094382667332,0.331905617332668,833.3333333333333
23,4,1,225.0,35.0,0.5,0.6645412804308257,0.3354587195691743,833.3333333333333
24,4,1,235.0,35.0,0.5,0.6610836115477909,0.33891638845220906,833.3333333333333
25,4,1,245.0,35.0,0.5,0.6577176614946603,0.34228233850533973,833.3333333333333
26,4,1,255.0,35.0,0.5,0.6544289990340636,0.3455710009659364,833.3333333333333
27,4,1,265.0,35.0,0.5,0.6512175201698253,0.34878247983017474,833.3333333333333
28,4,1,275.0,35.0,0.5,0.6480815715895973,0.35191842841040266,833.3333333333333
29,4,1,285.0,35.0,0.5,0.6450059540060389,0.3549940459939611,833.3333333333333
30,4,1,295.0,35.0,0.5,0.6419988855994465,0.3580011144005535,833.3333333333333
